{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.0375

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.1875

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.04

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.09

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.0325

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.0775

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 1, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': False},0.0775

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': False, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': False},0.2

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 24, 'use_lib': True, 'use_raw': True},0.165

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': False},0.09

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': False, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': False},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 64, 'use_lib': True, 'use_raw': True},0.1675

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': False},0.065

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': False, 'use_raw': True},0.17

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': False},0.12

{'histograms': True, 'lbptype': 'default', 'neighbors': 8, 'radius': 2, 'resize_to': 128, 'use_lib': True, 'use_raw': True},0.17

